epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2275.99,2.00462,1.65933,1.25743,0.46115,0.18886,0.19642,0.08957,1.90484,1.23191,1.21815,0.00999775,0.00333258,0.00999775,0.00333258,0.00999775,0.00333258,0.00999775,0.00333258
2,997.086,1.83659,1.21866,1.17135,0.42913,0.21123,0.21239,0.09873,1.85488,1.17742,1.20135,0.0199782,0.0066594,0.0199782,0.0066594,0.0199782,0.0066594,0.0199782,0.0066594
3,1929.71,1.84438,1.2293,1.18063,0.49568,0.19776,0.20767,0.09492,1.82458,1.15342,1.19646,0.0298807,0.00996022,0.0298807,0.00996022,0.0298807,0.00996022,0.0298807,0.00996022
4,2823.69,1.80224,1.18163,1.16626,0.39962,0.22374,0.22399,0.10622,1.75889,1.09861,1.17177,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,3719.26,1.72613,1.09874,1.13257,0.47672,0.23698,0.24516,0.11928,1.71981,1.04393,1.1525,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,4612.21,1.67312,1.04608,1.10984,0.53643,0.23804,0.25573,0.12509,1.69524,1.01346,1.14602,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,5503.02,1.63669,1.01016,1.09563,0.47809,0.25276,0.25931,0.12736,1.67589,0.99559,1.13708,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,6400.39,1.60662,0.98421,1.08413,0.50041,0.25852,0.26461,0.13176,1.66068,0.97509,1.1333,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,7292.89,1.58556,0.9629,1.07509,0.52433,0.25686,0.26905,0.13214,1.65161,0.96677,1.12869,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,8186.39,1.5647,0.94605,1.06662,0.6238,0.2577,0.27305,0.13703,1.6473,0.95864,1.12805,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,9079.72,1.54894,0.93065,1.05919,0.51339,0.26417,0.27233,0.13656,1.64316,0.95264,1.12679,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,10007.6,1.53025,0.9137,1.05191,0.62448,0.25843,0.27261,0.13658,1.63999,0.94922,1.12509,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,10909.5,1.51889,0.90365,1.04765,0.61073,0.26203,0.27301,0.13685,1.63767,0.94685,1.12414,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,11806.1,1.50266,0.89034,1.04073,0.61805,0.2629,0.27392,0.137,1.63612,0.94437,1.12352,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,12703.3,1.49247,0.8825,1.03767,0.60867,0.26542,0.27358,0.13662,1.63418,0.94204,1.12277,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,13598.4,1.47996,0.87169,1.03264,0.52656,0.26525,0.27356,0.13672,1.6331,0.94029,1.12229,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,14496.3,1.47214,0.86459,1.02891,0.51783,0.26954,0.27512,0.13777,1.63208,0.93845,1.12196,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,15410.6,1.45844,0.85299,1.02507,0.59941,0.27231,0.27676,0.13882,1.63099,0.93586,1.12148,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,16309.9,1.45065,0.84605,1.01965,0.6044,0.27258,0.27763,0.13946,1.62932,0.93388,1.12062,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,17214.1,1.43858,0.8373,1.01699,0.6176,0.26886,0.27754,0.13938,1.6283,0.93202,1.12016,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,18112.9,1.42866,0.82729,1.01189,0.62355,0.26777,0.27761,0.13984,1.62763,0.93027,1.11984,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,19009.1,1.41998,0.82149,1.01,0.61423,0.26908,0.27893,0.14014,1.6269,0.92876,1.11981,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,19905.4,1.41115,0.8148,1.0066,0.62189,0.26858,0.28012,0.14077,1.626,0.92716,1.1194,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,20798.3,1.40081,0.80457,1.00182,0.62286,0.2712,0.28084,0.14089,1.62564,0.92576,1.11935,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,21690,1.3903,0.79814,0.99809,0.62451,0.27163,0.28262,0.14173,1.62501,0.9249,1.11877,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,22586,1.37754,0.78818,0.99445,0.62353,0.27165,0.28366,0.14228,1.62401,0.92392,1.11829,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23481.4,1.36856,0.78008,0.99024,0.52822,0.27671,0.28423,0.1424,1.6229,0.92313,1.11765,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,24380.8,1.35822,0.77331,0.9864,0.51637,0.27739,0.2825,0.14177,1.62212,0.92253,1.11729,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,25276,1.34701,0.76338,0.9827,0.51465,0.27663,0.28268,0.14149,1.62169,0.92175,1.11684,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,26171.5,1.33644,0.75641,0.97901,0.51129,0.2763,0.28234,0.1418,1.62107,0.92105,1.11637,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,27066.8,1.32548,0.74854,0.9758,0.51138,0.27771,0.28291,0.14187,1.62081,0.92045,1.11608,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,27959.4,1.31462,0.74031,0.97258,0.51366,0.27553,0.28255,0.14157,1.62089,0.91985,1.11614,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,28855.5,1.30399,0.73279,0.96897,0.5152,0.27799,0.28248,0.14132,1.62154,0.91966,1.1167,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,29751.5,1.29174,0.72458,0.96498,0.51689,0.27604,0.28212,0.14149,1.62204,0.91978,1.11683,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,30647.6,1.28248,0.7167,0.96133,0.51925,0.27444,0.28206,0.14148,1.62199,0.91953,1.11667,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,31543,1.273,0.70795,0.95768,0.52602,0.27426,0.28255,0.14163,1.62236,0.91978,1.1167,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,32436.8,1.26321,0.70295,0.9545,0.52798,0.27552,0.28255,0.14163,1.6227,0.91999,1.11672,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
