epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,435.529,2.10674,2.17542,1.34565,0.5021,0.14917,0.1435,0.06318,2.09434,1.43504,1.30338,0.00998925,0.00332975,0.00998925,0.00332975,0.00998925,0.00332975,0.00998925,0.00332975
2,836.762,1.85264,1.26799,1.20497,0.50939,0.15998,0.1632,0.06949,2.05094,1.39505,1.29254,0.0199697,0.00665657,0.0199697,0.00665657,0.0199697,0.00665657,0.0199697,0.00665657
3,1207.26,1.8501,1.26871,1.20721,0.43165,0.14595,0.1302,0.05657,2.12367,1.52083,1.35432,0.0298722,0.0099574,0.0298722,0.0099574,0.0298722,0.0099574,0.0298722,0.0099574
4,1578.74,1.84379,1.26512,1.21366,0.42515,0.15716,0.15405,0.06748,2.05934,1.39692,1.29637,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1947.53,1.73887,1.14911,1.16726,0.4247,0.17438,0.17878,0.08007,1.9617,1.29227,1.26848,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,2318.53,1.67159,1.08111,1.13859,0.48931,0.19137,0.18959,0.08633,1.92858,1.2524,1.25309,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2688.21,1.62194,1.03292,1.11474,0.38843,0.20202,0.19753,0.09421,1.90567,1.21894,1.23993,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,3057.7,1.58105,0.99392,1.10036,0.3957,0.19163,0.19515,0.09214,1.88242,1.19855,1.22302,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,3426.3,1.5534,0.96424,1.0857,0.45101,0.20353,0.2006,0.09658,1.86552,1.16647,1.2227,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,3793.88,1.51992,0.93787,1.07247,0.42412,0.21088,0.20874,0.09859,1.8475,1.15791,1.21339,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,4159.85,1.49573,0.91504,1.06312,0.42264,0.20816,0.21087,0.10268,1.84554,1.14611,1.21139,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,4526.61,1.46633,0.89202,1.05315,0.50698,0.19536,0.19876,0.0956,1.84078,1.14244,1.20534,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,4898.98,1.4489,0.87583,1.04568,0.44415,0.21142,0.21727,0.104,1.82558,1.12592,1.20684,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,5264.8,1.43227,0.86038,1.0361,0.50895,0.21186,0.21129,0.10108,1.82405,1.11584,1.20376,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,5630.63,1.41582,0.84729,1.03106,0.39735,0.21517,0.21395,0.10398,1.81954,1.11013,1.19985,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,5994.97,1.40028,0.83619,1.02517,0.41676,0.21319,0.2126,0.1038,1.80982,1.10482,1.20109,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,6359.73,1.3798,0.82017,1.01748,0.45256,0.21083,0.21642,0.10525,1.81041,1.09308,1.19836,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,6724.94,1.36551,0.80751,1.01351,0.44214,0.21637,0.21815,0.10633,1.80755,1.08804,1.20201,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,7089.94,1.35108,0.79612,1.00838,0.44338,0.22342,0.2217,0.10706,1.80861,1.09031,1.20289,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,7456.14,1.33997,0.78657,1.00315,0.45826,0.21406,0.22197,0.10799,1.79718,1.08298,1.19808,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,7820.76,1.32477,0.7764,0.99706,0.45411,0.21959,0.22381,0.11002,1.7962,1.07795,1.19653,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,8185.39,1.31261,0.76611,0.99175,0.47895,0.21445,0.22376,0.10996,1.79697,1.07559,1.19659,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,8549.2,1.30242,0.75687,0.98784,0.45942,0.21968,0.22545,0.10918,1.79609,1.07406,1.19994,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,8914.45,1.29056,0.74843,0.98408,0.48411,0.21567,0.22499,0.10815,1.79729,1.07197,1.19869,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,9278.72,1.2709,0.73383,0.97658,0.47235,0.21868,0.22378,0.10875,1.79654,1.07037,1.19842,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,9643.91,1.26806,0.72887,0.97383,0.46253,0.2201,0.22419,0.10935,1.79483,1.0693,1.19861,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,10008.1,1.24926,0.7191,0.96984,0.47191,0.21986,0.22218,0.10938,1.79148,1.06734,1.19763,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,10372.6,1.24071,0.71215,0.96503,0.45724,0.22146,0.22184,0.10887,1.791,1.06889,1.19817,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,10737.7,1.22736,0.70085,0.96318,0.45705,0.22338,0.22253,0.10897,1.79028,1.06862,1.2,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,11107.5,1.21743,0.69306,0.95787,0.46263,0.22237,0.22307,0.10888,1.79148,1.06831,1.20143,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,11472.3,1.20636,0.68534,0.95427,0.46906,0.22095,0.22239,0.10867,1.79166,1.0669,1.2025,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
