epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2584.11,1.90255,1.53391,1.2487,0.56062,0.21727,0.22961,0.10664,1.86177,1.1589,1.19175,0.009999,0.003333,0.009999,0.003333,0.009999,0.003333,0.009999,0.003333
2,4699.27,1.72208,1.09554,1.15941,0.50198,0.2422,0.25212,0.11965,1.81197,1.08464,1.18821,0.0195145,0.00650483,0.0195145,0.00650483,0.0195145,0.00650483,0.0195145,0.00650483
3,6633.35,1.68074,1.05674,1.14459,0.59489,0.24437,0.25326,0.12156,1.79737,1.07828,1.18309,0.027163,0.00905433,0.027163,0.00905433,0.027163,0.00905433,0.027163,0.00905433
4,1881.28,1.603,1.00251,1.10517,0.52261,0.26698,0.2749,0.13499,1.71168,1.01723,1.14708,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
5,3769.4,1.48098,0.89253,1.05542,0.5195,0.27061,0.27851,0.13846,1.68934,1.00243,1.13679,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
6,5658.54,1.40181,0.82578,1.02437,0.5354,0.27087,0.28294,0.14069,1.67421,0.98452,1.13024,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
7,7541.24,1.33433,0.77249,0.9993,0.53092,0.27788,0.28666,0.14249,1.66315,0.96674,1.12645,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
8,9425.27,1.27623,0.72945,0.9791,0.53047,0.28012,0.28591,0.1426,1.65622,0.95421,1.1251,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
9,11307.7,1.22697,0.69494,0.96272,0.54064,0.2782,0.28666,0.14347,1.65175,0.94508,1.12456,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
10,13196.2,1.19388,0.6735,0.95223,0.55054,0.27268,0.28496,0.14304,1.64877,0.93913,1.12464,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
